Item_Id,vtex_sku_id,status
1123197,N/A,Unmapped
1123199,N/A,Unmapped
1123201,N/A,Unmapped
1123202,N/A,Unmapped
1123203,N/A,Unmapped
1123204,N/A,Unmapped
1123205,N/A,Unmapped
1123207,N/A,Unmapped
1123209,N/A,Unmapped
1123214,N/A,Unmapped
1123219,N/A,Unmapped
1123230,N/A,Unmapped
1123232,N/A,Unmapped
1123233,N/A,Unmapped
1123234,N/A,Unmapped
1123239,N/A,Unmapped
1123240,N/A,Unmapped
1123241,N/A,Unmapped
1123249,N/A,Unmapped
1123250,N/A,Unmapped
1123251,N/A,Unmapped
1123253,N/A,Unmapped
1123254,N/A,Unmapped
1123255,N/A,Unmapped
1123258,N/A,Unmapped
1123259,N/A,Unmapped
1123265,N/A,Unmapped
1123276,N/A,Unmapped
1123277,N/A,Unmapped
1123278,N/A,Unmapped
1123279,N/A,Unmapped
1123280,N/A,Unmapped
1123281,N/A,Unmapped
1123293,N/A,Unmapped
1123294,N/A,Unmapped
1123298,N/A,Unmapped
1123299,N/A,Unmapped
1123302,61618,Mapped
1123308,61621,Mapped
1123310,61623,Mapped
1123312,61624,Mapped
1123313,61625,Mapped
1123319,61630,Mapped
1123320,61631,Mapped
1123321,61632,Mapped
1123329,61638,Mapped
1123336,61642,Mapped
1123348,61645,Mapped
1123359,61649,Mapped
1123555,96891,Mapped
1123624,N/A,Unmapped
1123627,N/A,Unmapped
1123630,N/A,Unmapped
1123745,11308,Mapped
1123931,12588,Mapped
1123936,10341,Mapped
1124035,12567,Mapped
1124055,61656,Mapped
1124056,61657,Mapped
1124072,61662,Mapped
1124084,61666,Mapped
1124090,61669,Mapped
1124103,61676,Mapped
1124104,61677,Mapped
1124119,61684,Mapped
1124125,61689,Mapped
1124135,61695,Mapped
1124144,61698,Mapped
1124244,12217,Mapped
1124269,N/A,Unmapped
1124270,N/A,Unmapped
1124271,N/A,Unmapped
1124537,N/A,Unmapped
1124538,N/A,Unmapped
1124539,N/A,Unmapped
1124546,N/A,Unmapped
1124551,N/A,Unmapped
1124552,N/A,Unmapped
1124554,N/A,Unmapped
1124557,N/A,Unmapped
1124560,N/A,Unmapped
1124566,N/A,Unmapped
1124582,N/A,Unmapped
1124584,N/A,Unmapped
1124586,N/A,Unmapped
